date;day_of_week;id;name;counts;coordinates;site_active;user_type;installation_date;photos;status;site_owner
2024-11-09T05:00:00+00:00;Saturday;100013346;CRY_LKP_W (Cary Lake Pine Drive - West);0;35.74969, -78.813619;Yes;bicycle;2021-02-11;https://filer.eco-counter-tools.com/file/1a/15098955a2f94c9c6001b01a51354b77fbd8e459f9812ed835e35233eeceb01a/20240122_115919.jpg;raw;Cary
2024-10-26T04:00:00+00:00;Saturday;100034841;RAL_HAR_S;0;35.777953, -78.629385;Yes;undefined;2018-05-31;;raw;Cary
2024-11-09T10:00:00+00:00;Saturday;100013346;CRY_LKP_W (Cary Lake Pine Drive - West);0;35.74969, -78.813619;Yes;bicycle;2021-02-11;https://filer.eco-counter-tools.com/file/1a/15098955a2f94c9c6001b01a51354b77fbd8e459f9812ed835e35233eeceb01a/20240122_115919.jpg;raw;Cary
2024-10-26T07:00:00+00:00;Saturday;100034841;RAL_HAR_S;0;35.777953, -78.629385;Yes;undefined;2018-05-31;;raw;Cary
2024-11-10T00:00:00+00:00;Sunday;100013346;CRY_LKP_W (Cary Lake Pine Drive - West);0;35.74969, -78.813619;Yes;bicycle;2021-02-11;https://filer.eco-counter-tools.com/file/1a/15098955a2f94c9c6001b01a51354b77fbd8e459f9812ed835e35233eeceb01a/20240122_115919.jpg;raw;Cary
2024-10-26T09:00:00+00:00;Saturday;100034841;RAL_HAR_S;0;35.777953, -78.629385;Yes;undefined;2018-05-31;;raw;Cary
2024-11-10T03:00:00+00:00;Sunday;100013346;CRY_LKP_W (Cary Lake Pine Drive - West);0;35.74969, -78.813619;Yes;bicycle;2021-02-11;https://filer.eco-counter-tools.com/file/1a/15098955a2f94c9c6001b01a51354b77fbd8e459f9812ed835e35233eeceb01a/20240122_115919.jpg;raw;Cary
2024-10-26T14:00:00+00:00;Saturday;100034841;RAL_HAR_S;2;35.777953, -78.629385;Yes;undefined;2018-05-31;;raw;Cary
2024-11-09T16:00:00+00:00;Saturday;100013347;CRY_LKP_E (Cary Lake Pine Drive - East);0;35.749622, -78.813555;Yes;bicycle;2014-04-09;https://filer.eco-counter-tools.com/file/e5/58c79cc1ad46be8e50c85aa74bd9c9a3853180bb24aed8bdeb5ec48075ab02e5/20240122_120326.jpg;raw;Cary
2024-10-26T15:00:00+00:00;Saturday;100034841;RAL_HAR_S;4;35.777953, -78.629385;Yes;undefined;2018-05-31;;raw;Cary
2024-11-09T18:00:00+00:00;Saturday;100013347;CRY_LKP_E (Cary Lake Pine Drive - East);0;35.749622, -78.813555;Yes;bicycle;2014-04-09;https://filer.eco-counter-tools.com/file/e5/58c79cc1ad46be8e50c85aa74bd9c9a3853180bb24aed8bdeb5ec48075ab02e5/20240122_120326.jpg;raw;Cary
2024-10-26T20:00:00+00:00;Saturday;100034841;RAL_HAR_S;5;35.777953, -78.629385;Yes;undefined;2018-05-31;;raw;Cary
2024-11-09T21:00:00+00:00;Saturday;100013347;CRY_LKP_E (Cary Lake Pine Drive - East);0;35.749622, -78.813555;Yes;bicycle;2014-04-09;https://filer.eco-counter-tools.com/file/e5/58c79cc1ad46be8e50c85aa74bd9c9a3853180bb24aed8bdeb5ec48075ab02e5/20240122_120326.jpg;raw;Cary
2024-10-26T22:00:00+00:00;Saturday;100034841;RAL_HAR_S;2;35.777953, -78.629385;Yes;undefined;2018-05-31;;raw;Cary
2024-11-10T01:00:00+00:00;Sunday;100013347;CRY_LKP_E (Cary Lake Pine Drive - East);0;35.749622, -78.813555;Yes;bicycle;2014-04-09;https://filer.eco-counter-tools.com/file/e5/58c79cc1ad46be8e50c85aa74bd9c9a3853180bb24aed8bdeb5ec48075ab02e5/20240122_120326.jpg;raw;Cary
2024-10-26T23:00:00+00:00;Saturday;100034841;RAL_HAR_S;1;35.777953, -78.629385;Yes;undefined;2018-05-31;;raw;Cary
2024-11-09T06:00:00+00:00;Saturday;100046007;RAL_CAM_S;1;35.79077, -78.66154;Yes;pedestrian;2018-07-31;https://filer.eco-counter-tools.com/file/15/e6188166abac795949894a71411498ccf4c48e968af662708538b10d3a1a6215/15423099573310.jpg;raw;Cary
2024-10-26T05:00:00+00:00;Saturday;100046007;RAL_CAM_S;0;35.79077, -78.66154;Yes;pedestrian;2018-07-31;https://filer.eco-counter-tools.com/file/15/e6188166abac795949894a71411498ccf4c48e968af662708538b10d3a1a6215/15423099573310.jpg;raw;Cary
